NOME DA PÁGINA;ARQUIVO;SEÇÃO;DESCRIÇÃO
Início;index.html;Hero – Apresentação;Chamada principal com proposta de valor institucional. Botões para Projetos e Portal de Transparência.
Início;index.html;Nossa Essência;Texto sobre história (+20 anos) e posicionamento. Conecta para quem-somos.html.
Início;index.html;Quem Caminha Conosco (Parceiros);Mosaico animado com logos de parceiros: Vale, Gerdau, Sebrae, Coca-Cola Femsa, Caixa, BB, Sicoob, Sicredi e outros.
Início;index.html;Sem Fronteiras (Onde Estamos);Mapa do Brasil com pins de atuação (Amapá/PA, DF, MG, RS) e lista de 8 capacidades operacionais.
Início;index.html;Impacto que Transforma;Indicadores animados: +900 mil beneficiados, +203 projetos, +20 municípios atendidos, +R$123 mi gerenciados.
Início;index.html;Governança Sólida;4 cards institucionais: Programa de Integridade, Transparência Ativa, Segurança Jurídica, Prestação de Contas. Botão para transparencia.html.
Início;index.html;O Que Fazemos (Serviços);6 cards com os eixos estratégicos de atuação. Botão "Saiba mais sobre nossos serviços" para servicos.html.
Início;index.html;Projetos que Marcam;6 cards de projetos em destaque com categoria, descrição e ODS. Botão "Ver Todos os Projetos" para projetos.html.
Início;index.html;Últimas Notícias;3 cards de notícias institucionais (conteúdo placeholder). Botão "Ver Todas as Notícias" (sem destino definido).
Início;index.html;Instagram;Feed do Instagram @Adesiap.itabirito via Elfsight. Botão "Seguir no Instagram".
Início;index.html;Rodapé;Links institucionais, endereço (Rua Dr. Guilherme 44, Itabirito/MG), e-mail, telefone, Instagram e LinkedIn.
;;;
Quem Somos;quem-somos.html;Hero;Apresentação com indicadores de impacto no topo e chamada "mais de duas décadas transformando investimentos em benefícios".
Quem Somos;quem-somos.html;Evolução Institucional;Linha do tempo textual da história: ADESITA (2003) → ADESIAP → ADESIAP Minas. Contexto da mudança de nome e missão.
Quem Somos;quem-somos.html;Nossa Trajetória (Timeline);Timeline visual com 4 marcos: Fundação 2003, Expansão 2015, Transformação 2020, Consolidação 2024.
Quem Somos;quem-somos.html;Nossa Essência (Missão, Visão e Valores);Missão e Visão em cards + grid radial com 10 valores: Inovação, Empatia, Responsabilidade, entre outros.
Quem Somos;quem-somos.html;Atuação Intersetorial;Diagrama de Venn visual ilustrando a interseção entre Governo, Iniciativa Privada e OSCs.
Quem Somos;quem-somos.html;Governança Ética e Transparência;6 princípios em cards: Legalidade, Transparência, Eficiência, Moralidade, Economicidade, Impessoalidade.
Quem Somos;quem-somos.html;Corpo Técnico;Grid com pills coloridas representando as especialidades da equipe (Direito, Economia, Engenharia, etc.).
Quem Somos;quem-somos.html;Rodapé;Links institucionais e contato (padrão sitewide).
;;;
Governança;governanca.html;Hero;Apresentação do compromisso ético e da estrutura de governança da ADESIAP.
Governança;governanca.html;Nossa Natureza (OSCIP);Explicação jurídica: qualificação OSCIP pela Lei 9.790/99, modelo sem fins lucrativos com reinvestimento 100%.
Governança;governanca.html;Estrutura de Decisão;3 blocos: Comitê de Parceiros (deliberativo), Equipe Executiva (operacional), Conselho Fiscal (fiscalizador).
Governança;governanca.html;Organograma Institucional;Diagrama hierárquico visual com nós coloridos e linhas de reporte entre os órgãos da instituição.
Governança;governanca.html;Prestação de Contas;Checklist com 3 itens: Auditorias Externas Independentes, Publicidade Ativa e Compliance regulatório.
Governança;governanca.html;Agenda 2030 e ESG;Dois blocos: conformidade LGPD/Ética e alinhamento com os 17 ODS da ONU. Link para agenda-2030.html.
Governança;governanca.html;Call to Action;Banner "Segurança Para a Sua Parceria" com fundo âmbar. Convite para iniciar um projeto.
Governança;governanca.html;Rodapé;Links institucionais e contato (padrão sitewide).
;;;
Agenda 2030 e Pacto Global;agenda-2030.html;Hero;Apresentação do compromisso com a Agenda 2030 da ONU e alinhamento com os ODS.
